Data are subject to change at any time when further reviewed or when the Warehouse is updated. Questions can be directed to air.data@gov.ab.ca.,,,,,,,,,,,,,,,,,,,,,,
Multiple Parameters-One Station Data Comparison Report,,,,,,,,,,,,,,,,,,,,,,
Report generated by airdata.alberta.ca,,,,,,,,,,,,,,,,,,,,,,
Report generated on 2022-11-19 20:40:16,,,,,,,,,,,,,,,,,,,,,,
Collection Type: Continuous,,,,,,,,,,,,,,,,,,,,,,
,,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term,Program Code: Core Long Term
,,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East,StationName: Edmonton East
,,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029,Station ID: 1029
,,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent,Station Type: Permanent
,,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821,StationLatitude: 53.54821
,,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809,Station Longitude: -113.36809
,,Parameter: Carbon Monoxide,Parameter: Hydrogen Sulphide,Parameter: Methane,Parameter: Nitric Oxide,Parameter: Nitrogen Dioxide,Parameter: Non-methane Hydrocarbons,Parameter: Outdoor Air Temperature,Parameter: Ozone,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: PM2.5 Mass,Parameter: Relative Humidity,Parameter: Std. Dev. of Wind Direction,Parameter: Std. Dev. of Wind Direction,Parameter: Sulphur Dioxide,Parameter: Total Hydrocarbons,Parameter: Total Hydrocarbons,Parameter: Total Oxides Of Nitrogen,Parameter: Wind Direction,Parameter: Wind Direction,Parameter: Wind Speed
,,Method Name: Gas Filter Correlation,Method Name: UV Pulsed Fluorescence,Method Name: FID-Calibrated with Methane/Propane,Method Name: Chemiluminescence,Method Name: Chemiluminescence,Method Name: FID-Calibrated with Methane/Propane,Method Name: Thermal Resistor,Method Name: UV Photometry,Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 30C with FDMS (self referencing),Method Name: Direct Mass Measurement/Micro Balance (TEOM) @ 30C with FDMS (self referencing) with data reported at actual ambient conditions,Method Name: Hybrid Nephelometer/Beta Attenuation System (SHARP) with data reported at actual ambient conditions,Method Name: Hygrometer,Method Name: Heated Sonic Anemometer,Method Name: Unknown Method (2019 Conversion),Method Name: UV Pulsed Fluorescence,Method Name: FID-Calibrated with Methane/Propane,Method Name: Unknown Method (2019 Conversion),Method Name: Chemiluminescence,Method Name: Heated Sonic Anemometer,Method Name: Unknown Method (2019 Conversion),Method Name: Heated Sonic Anemometer
,,Unit: ppm,Unit: ppm,Unit: ppm,Unit: ppm,Unit: ppm,Unit: ppm,Unit: deg c,Unit: ppm,Unit: ug/m3,Unit: ug/m3,Unit: ug/m3,Unit: percent,Unit: deg,Unit: deg,Unit: ppm,Unit: ppm,Unit: ppm,Unit: ppm,Unit: deg,Unit: deg,Unit: km/hr
,,VvcCode: VVC14,VvcCode: VVC30,VvcCode: VVC72,VvcCode: VVC34,VvcCode: VVC36,VvcCode: VVC56,VvcCode: VVC332,VvcCode: VVC98,VvcCode: VVC152,VvcCode: VVC148,VvcCode: VVC143,VvcCode: VVC352,VvcCode: VVC166,VvcCode: VVC1037,VvcCode: VVC28,VvcCode: VVC48,VvcCode: VVC1045,VvcCode: VVC38,VvcCode: VVC163,VvcCode: VVC1052,VvcCode: VVC157
